Collections,Sales,Buyers,Txns,Owners
Boss Beauties,"$37,456,761","8,949","17,784","5,481"
My Pet Hooligan,"$37,412,331","8,209","14,237",
The CryptoDads,"$37,369,703","7,943","15,530","7,507"
Pixel Vault Founders DAO,"$37,320,490","1,964","2,724",
TheHeartProject,"$36,754,806","10,835","22,123","5,926"
Forgotten Runes,"$36,440,685","4,409","13,643","2,849"
Farming Tales,"$36,234,893","9,653","158,362","5,337"
the littles NFT,"$35,888,488","8,413","16,390",
Blitmap,"$35,560,925",416,975,606
GEN.ART,"$35,452,223","4,343","7,945",
Bored Bunny,"$35,302,684","7,910","12,174",
GENART,"$35,266,427","3,985","7,313","2,410"
SolPunks,"$34,854,757","6,960","16,062","4,662"
Metasaurs by Dr. DMT,"$34,402,405","7,643","15,666","5,234"
Bloot,"$34,099,310","6,301","14,852","3,953"
Smilesss,"$33,872,801","8,663","16,036",
Animetas,"$32,313,734","6,904","18,753","4,166"
More Than Gamers,"$32,028,901","14,672","23,862",
MetaHero Universe DAO Tokens,"$31,787,598","6,451","16,515",1
Tom Sachs Rocket Factory,"$30,131,817",775,"2,663",265
Creepz Shapeshifters,"$29,819,808","2,867","11,878",
ALPACADABRAZ,"$29,782,916","6,961","13,982","4,440"
Thug Birdz,"$29,775,416","3,340","6,619","2,262"
Party Ape Billionaire Club,"$29,596,407","6,181","13,225","4,573"
Winter Bears,"$29,334,326","10,159","22,217","4,696"
Tasty Bones,"$29,231,498","4,350","6,724",
CryptoJanky,"$28,490,981","8,273","15,965",
Panini America,"$28,021,460","11,956","481,952","10,625"
Portals,"$27,909,795","4,275","8,213","3,084"
Janky Heist,"$27,883,760","8,215","15,437","5,737"
SlimHoods,"$27,604,597","7,414","13,244",
OnChainMonkey,"$27,279,991","5,644","16,274","2,996"
Meerkat Millionaires Country Club,"$25,950,909","6,608","12,577","4,613"
X Rabbits Club,"$25,577,457","3,661","8,159","3,355"
MoodRollers,"$25,212,580","5,308","9,667","2,713"
Edenhorde,"$24,991,723","4,362","11,020",
Slotie,"$24,891,591","4,872","10,914",
Galaxy Fight Club,"$24,775,682","4,807","16,601","2,607"
BugBears,"$24,497,618","8,066","19,366","6,318"
Reptile Armoury,"$24,390,435","3,355","11,675",
Bold Badgers,"$24,345,579","6,085","17,973","3,998"
WonderPals,"$24,033,409","12,088","16,301",
Cool Monkes,"$23,438,319","7,163","16,027",
MetaLegends,"$23,212,975","7,121","13,432",
